functional_area,program_name,run_id,table_name,source_record_count,ignored_record_count,orphan_record_count,source_considered_count,source_errored_count,source_converted_count,quarter
Buy-In,BUY_MS_MASTER                 ,UAT02     ,b_detail_tb                   ,2546175,1999501,-1                 ,546674,0,546674, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,b_detail_tb                   ,2551640,2001926,-1                 ,549714,0,549714, 
Buy-In,BUY_MS_MASTER                 ,ALL02     ,b_prev_mcare_id_tb            ,971797,0,62,971735,0,971735, 
Buy-In,BUY_MS_MASTER                 ,FINAL1    ,b_prev_mcare_id_tb            ,1064443,0,0,1064443,0,1064443, 
Buy-In,BUY_MS_MASTER                 ,FINAL2    ,b_prev_mcare_id_tb            ,1065207,0,0,1065207,0,1065207, 
Buy-In,BUY_MS_MASTER                 ,MOD03     ,b_prev_mcare_id_tb            ,971797,0,58,971739,0,971739, 
Buy-In,BUY_MS_MASTER                 ,PRLM01    ,b_prev_mcare_id_tb            ,971797,0,27,971770,0,971770, 
Buy-In,BUY_MS_MASTER                 ,PRLM02    ,b_prev_mcare_id_tb            ,971797,0,27,971770,0,971770, 
Buy-In,BUY_MS_MASTER                 ,PRLM03    ,b_prev_mcare_id_tb            ,971797,0,49,971748,0,971748, 
Buy-In,BUY_MS_MASTER                 ,PRLM04    ,b_prev_mcare_id_tb            ,971797,0,49,971748,0,971748, 
Buy-In,BUY_MS_MASTER                 ,PRLM05    ,b_prev_mcare_id_tb            ,971797,0,54,971743,0,971743, 
Buy-In,BUY_MS_MASTER                 ,TRAD01    ,b_prev_mcare_id_tb            ,971797,0,56,971741,0,971741, 
Buy-In,BUY_MS_MASTER                 ,TST03     ,b_prev_mcare_id_tb            ,971797,0,0,971797,0,971797, 
Buy-In,BUY_MS_MASTER                 ,TST04     ,b_prev_mcare_id_tb            ,971797,0,0,971797,0,971797, 
Buy-In,BUY_MS_MASTER                 ,TST05     ,b_prev_mcare_id_tb            ,971797,0,0,971797,0,971797, 
Buy-In,BUY_MS_MASTER                 ,TST08     ,b_prev_mcare_id_tb            ,971797,0,56,971741,0,971741, 
Buy-In,BUY_MS_MASTER                 ,TST09     ,b_prev_mcare_id_tb            ,971797,0,56,971741,0,971741, 
Buy-In,BUY_MS_MASTER                 ,TST10     ,b_prev_mcare_id_tb            ,971797,0,56,971741,0,971741, 
Buy-In,BUY_MS_MASTER                 ,TST12     ,b_prev_mcare_id_tb            ,971797,0,58,971739,0,971739, 
Buy-In,BUY_MS_MASTER                 ,TST15     ,b_prev_mcare_id_tb            ,971797,0,62,971735,0,971735, 
Buy-In,BUY_MS_MASTER                 ,TST17     ,b_prev_mcare_id_tb            ,971797,0,62,971735,0,971735, 
Buy-In,BUY_MS_MASTER                 ,TST18     ,b_prev_mcare_id_tb            ,971797,0,62,971735,326857,644878, 
Buy-In,BUY_MS_MASTER                 ,TST19     ,b_prev_mcare_id_tb            ,971797,0,64,971733,330153,641580, 
Buy-In,BUY_MS_MASTER                 ,TST20     ,b_prev_mcare_id_tb            ,971797,0,64,971733,331007,640726, 
Buy-In,BUY_MS_MASTER                 ,TST21     ,b_prev_mcare_id_tb            ,971797,0,64,971733,330992,640741, 
Buy-In,BUY_MS_MASTER                 ,TST23     ,b_prev_mcare_id_tb            ,971797,0,64,971733,330992,640741, 
Buy-In,BUY_MS_MASTER                 ,TST25     ,b_prev_mcare_id_tb            ,971797,0,64,971733,330992,640741, 
Buy-In,BUY_MS_MASTER                 ,TST27     ,b_prev_mcare_id_tb            ,1050984,0,0,1050984,330883,720101, 
Buy-In,BUY_MS_MASTER                 ,TST28     ,b_prev_mcare_id_tb            ,1050984,0,0,1050984,213185,837799, 
Buy-In,BUY_MS_MASTER                 ,TST30     ,b_prev_mcare_id_tb            ,1050984,0,0,1050984,213090,837894, 
Buy-In,BUY_MS_MASTER                 ,TST32     ,b_prev_mcare_id_tb            ,1050984,0,0,1050984,210518,840466, 
Buy-In,BUY_MS_MASTER                 ,TST34     ,b_prev_mcare_id_tb            ,1058702,0,0,1058702,0,1058702, 
Buy-In,BUY_MS_MASTER                 ,TST36     ,b_prev_mcare_id_tb            ,1059996,0,0,1059996,0,1059996, 
Buy-In,BUY_MS_MASTER                 ,TST38     ,b_prev_mcare_id_tb            ,1059996,0,0,1059996,0,1059996, 
Buy-In,BUY_MS_MASTER                 ,UAT01     ,b_prev_mcare_id_tb            ,971797,0,54,971743,0,971743, 
Buy-In,BUY_MS_MASTER                 ,UAT02     ,b_prev_mcare_id_tb            ,971797,0,54,971743,0,971743, 
Buy-In,BUY_MS_MASTER                 ,UAT03     ,b_prev_mcare_id_tb            ,971797,0,56,971741,0,971741, 
Buy-In,BUY_MS_MMA_RESPONSE           ,ALL02     ,b_mma_response_tb             ,4903459,4396030,-1                 ,507429,28,507401, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL1    ,b_mma_response_tb             ,11541417,11030141,-1                 ,511276,75,511201, 
Buy-In,BUY_MS_MMA_RESPONSE           ,FINAL2    ,b_mma_response_tb             ,13207531,12696243,-1                 ,511288,87,511201, 
Buy-In,BUY_MS_MMA_RESPONSE           ,MOD03     ,b_mma_response_tb             ,3254649,2748232,-1                 ,506417,18,506399, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM01    ,b_mma_response_tb             ,722808,552921,-1                 ,169887,3023,166864, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM02    ,b_mma_response_tb             ,2576,1418,-1                 ,1158,32,1126, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM03    ,b_mma_response_tb             ,4978,3087,-1                 ,1891,0,1891, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM04    ,b_mma_response_tb             ,4978,3087,-1                 ,1891,0,1891, 
Buy-In,BUY_MS_MMA_RESPONSE           ,PRLM05    ,b_mma_response_tb             ,798220,628498,-1                 ,169722,1,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TRAD01    ,b_mma_response_tb             ,1611493,1273586,-1                 ,337907,3,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST03     ,b_mma_response_tb             ,720232,551515,-1                 ,168717,9,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST04     ,b_mma_response_tb             ,720232,551515,-1                 ,168717,9,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST05     ,b_mma_response_tb             ,720232,551515,-1                 ,168717,9,168708, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST08     ,b_mma_response_tb             ,2409713,2071755,-1                 ,337958,1927,336031, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST09     ,b_mma_response_tb             ,1611493,1273586,-1                 ,337907,3,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST10     ,b_mma_response_tb             ,813273,643962,-1                 ,169311,2,169309, 
