functional_area,program_name,run_id,table_name,target_record_count,quarter
Buy-In,BUY_MS_MMA_RESPONSE           ,TST34     ,t_re_medicare_b               ,180412, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST36     ,t_re_medicare_b               ,180412, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST36     ,t_buy_partd_enroll            ,510214, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST36     ,t_re_medicare_a               ,174692, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST38     ,t_re_medicare_b               ,180412, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST38     ,t_re_medicare_a               ,174692, 
Buy-In,BUY_MS_MMA_RESPONSE           ,TST38     ,t_buy_partd_enroll            ,510214, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT01     ,t_re_medicare_b               ,171929, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT01     ,t_buy_partd_enroll            ,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT01     ,t_re_medicare_a               ,166488, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT02     ,t_re_medicare_a               ,166488, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT02     ,t_buy_partd_enroll            ,169721, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT02     ,t_re_medicare_b               ,171929, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT03     ,t_re_medicare_a               ,170553, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT03     ,t_buy_partd_enroll            ,337904, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT03     ,t_re_medicare_b               ,176136, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT05     ,t_buy_partd_enroll            ,508374, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT05     ,t_re_medicare_a               ,174496, 
Buy-In,BUY_MS_MMA_RESPONSE           ,UAT05     ,t_re_medicare_b               ,180208, 
Buy-In,BUY_MS_OUTBOUND               ,ALL02     ,t_buy_parta_outbound          ,1327, 
Buy-In,BUY_MS_OUTBOUND               ,ALL02     ,t_buy_partb_outbound          ,164079, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL1    ,t_buy_partb_outbound          ,557922, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL1    ,t_buy_parta_outbound          ,4564, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL2    ,t_buy_parta_outbound          ,5896, 
Buy-In,BUY_MS_OUTBOUND               ,FINAL2    ,t_buy_partb_outbound          ,701287, 
Buy-In,BUY_MS_OUTBOUND               ,MOD03     ,t_buy_parta_outbound          ,893, 
Buy-In,BUY_MS_OUTBOUND               ,MOD03     ,t_buy_partb_outbound          ,110154, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM01    ,t_buy_partb_outbound          ,60254, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM01    ,t_buy_parta_outbound          ,461, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM02    ,t_buy_partb_outbound          ,39700, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM02    ,t_buy_parta_outbound          ,294, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM03    ,t_buy_parta_outbound          ,462, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM03    ,t_buy_partb_outbound          ,58239, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM04    ,t_buy_parta_outbound          ,462, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM04    ,t_buy_partb_outbound          ,58239, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM05    ,t_buy_partb_outbound          ,36912, 
Buy-In,BUY_MS_OUTBOUND               ,PRLM05    ,t_buy_parta_outbound          ,331, 
Buy-In,BUY_MS_OUTBOUND               ,TRAD01    ,t_buy_partb_outbound          ,74240, 
Buy-In,BUY_MS_OUTBOUND               ,TRAD01    ,t_buy_parta_outbound          ,620, 
Buy-In,BUY_MS_OUTBOUND               ,TST03     ,t_buy_partb_outbound          ,20554, 
Buy-In,BUY_MS_OUTBOUND               ,TST03     ,t_buy_parta_outbound          ,167, 
Buy-In,BUY_MS_OUTBOUND               ,TST04     ,t_buy_partb_outbound          ,20554, 
Buy-In,BUY_MS_OUTBOUND               ,TST04     ,t_buy_parta_outbound          ,167, 
Buy-In,BUY_MS_OUTBOUND               ,TST05     ,t_buy_partb_outbound          ,20554, 
Buy-In,BUY_MS_OUTBOUND               ,TST05     ,t_buy_parta_outbound          ,167, 
Buy-In,BUY_MS_OUTBOUND               ,TST08     ,t_buy_parta_outbound          ,818, 
